room_name;project_name;deveui
B110;IUT-BLAGNAC;24e124128c017943
B111;IUT-BLAGNAC;24e124128c011586
B201;IUT-BLAGNAC;24e124128c017412
B202;IUT-BLAGNAC;24e124128c017760
B203;IUT-BLAGNAC;24e124128c011778
B001;IUT-BLAGNAC;24e124128c010091
B002;IUT-BLAGNAC;24e124128c012259
B003;IUT-BLAGNAC;24e124128c013816
B101;IUT-BLAGNAC;24e124128c014516
B102;IUT-BLAGNAC;24e124128c016271
B103;IUT-BLAGNAC;24e124128c013339
B105;IUT-BLAGNAC;24e124128c011783
B106;IUT-BLAGNAC;24e124128c016684
B108;IUT-BLAGNAC;24e124128c012062
B109;IUT-BLAGNAC;24e124128c144603
B112;IUT-BLAGNAC;24e124128c012135
B113;IUT-BLAGNAC;24e124128c016453
B212;IUT-BLAGNAC;24e124128c014695
B217;IUT-BLAGNAC;24e124128c014727
B219;IUT-BLAGNAC;24e124128c017657
B234;IUT-BLAGNAC;24e124128c016872
C004;IUT-BLAGNAC;24e124128c019441
C006;IUT-BLAGNAC;24e124128c015284
D001;IUT-BLAGNAC;24e124128c013244
E003;IUT-BLAGNAC;24e124128c017035
E004;IUT-BLAGNAC;24e124128c012886
E001;IUT-BLAGNAC;24e124128c010174
E006;IUT-BLAGNAC;24e124128c016509
E007;IUT-BLAGNAC;24e124128c012980
E101;IUT-BLAGNAC;24e124128c016639
E102;IUT-BLAGNAC;24e124128c016122
E103;IUT-BLAGNAC;24e124128c019417
E104;IUT-BLAGNAC;24e124128c012114
E105;IUT-BLAGNAC;24e124128c010317
E106;IUT-BLAGNAC;24e124128c017317
E100;IUT-BLAGNAC;24e124128c019569
E208;IUT-BLAGNAC;24e124128c013070
E209;IUT-BLAGNAC;24e124128c011464
E206;IUT-BLAGNAC;24e124128c010640
E207;IUT-BLAGNAC;24e124128c019775
E210;IUT-BLAGNAC;24e124128c016549
Salle-conseil;IUT-BLAGNAC;24e124128c016946
A007;IUT-BLAGNAC;24e124128c010588
Local-velo;IUT-BLAGNAC;24e124128c016461
Foyer-personnels;IUT-BLAGNAC;24e124128c019661
Foyer-etudiants-1;IUT-BLAGNAC;24e124128c017952
Foyer-etudiants-2;IUT-BLAGNAC;24e124128c010535
hall-1;IUT-BLAGNAC;24e124128c017200
hall-2;IUT-BLAGNAC;24e124128c016491
amphi1;IUT-BLAGNAC;24e124128c012168
